[2026-04-16 12:15:42.634154] 📦 SUMMARY: Ether / IP / TCP 192.168.1.191:4713 > 172.17.24.184:33498 RA
[2026-04-16 12:15:47.584219] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:37314 > 192.168.1.191:4713 S
[2026-04-16 12:15:48.591038] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:37314 > 192.168.1.191:4713 S
[2026-04-16 12:15:49.584103] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:37314 > 192.168.1.191:4713 S
[2026-04-16 12:15:50.580491] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:37314 > 192.168.1.191:4713 S
[2026-04-16 12:15:51.602871] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:37314 > 192.168.1.191:4713 S
[2026-04-16 12:15:57.457203] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:39712 > 192.168.1.191:4713 S
[2026-04-16 12:15:58.539491] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:39712 > 192.168.1.191:4713 S
[2026-04-16 12:15:59.507894] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:39712 > 192.168.1.191:4713 S
[2026-04-16 12:16:00.530048] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:39712 > 192.168.1.191:4713 S
[2026-04-16 12:16:01.554591] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:39712 > 192.168.1.191:4713 S
[2026-04-16 12:16:07.451086] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:56790 > 192.168.1.191:4713 S
[2026-04-16 12:16:08.465950] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:56790 > 192.168.1.191:4713 S
[2026-04-16 12:16:09.490520] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:56790 > 192.168.1.191:4713 S
[2026-04-16 12:16:10.595677] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:56790 > 192.168.1.191:4713 S
[2026-04-16 12:16:11.555221] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:56790 > 192.168.1.191:4713 S
[2026-04-16 12:16:17.448872] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:33520 > 192.168.1.191:4713 S
[2026-04-16 12:16:18.450239] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:33520 > 192.168.1.191:4713 S
[2026-04-16 12:16:19.475552] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:33520 > 192.168.1.191:4713 S
[2026-04-16 12:16:20.499890] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:33520 > 192.168.1.191:4713 S
[2026-04-16 12:16:21.522974] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:33520 > 192.168.1.191:4713 S
[2026-04-16 12:16:27.449460] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:41010 > 192.168.1.191:4713 S
[2026-04-16 12:16:28.466313] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:41010 > 192.168.1.191:4713 S
[2026-04-16 12:16:29.490226] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:41010 > 192.168.1.191:4713 S
[2026-04-16 12:16:30.514152] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:41010 > 192.168.1.191:4713 S
[2026-04-16 12:16:31.538046] 📦 SUMMARY: Ether / IP / TCP 172.17.24.184:41010 > 192.168.1.191:4713 S
